burst_num,i,burst_pairs,offsets,delays,min_offset,min_delay,T1,T2,T3,T4
0,0,0,0.000439,0.00073,0.000367,0.000448,3888434061.396982,3888434061.397786,3888434061.3977947,3888434061.397721
0,1,1,0.000361,0.000512,0.000367,0.000448,3888434061.3977385,3888434061.3983555,3888434061.3983583,3888434061.398253
0,2,2,0.000355,0.000507,0.000367,0.000448,3888434061.398261,3888434061.3988695,3888434061.3988724,3888434061.3987713
0,3,3,0.000334,0.000533,0.000367,0.000448,3888434061.398779,3888434061.399379,3888434061.399382,3888434061.399315
0,4,4,0.00036,0.000517,0.000367,0.000448,3888434061.3993225,3888434061.3999414,3888434061.399944,3888434061.399842
0,5,5,0.000352,0.00049,0.000367,0.000448,3888434061.39985,3888434061.400447,3888434061.4004498,3888434061.4003425
0,6,6,0.000387,0.000548,0.000367,0.000448,3888434061.400365,3888434061.401026,3888434061.4010286,3888434061.400916
0,7,7,0.000367,0.000448,0.000367,0.000448,3888434061.4009247,3888434061.4015155,3888434061.4015183,3888434061.401376
1,0,10,0.000395,0.000732,0.00035,0.000464,3888434301.3970165,3888434301.3977776,3888434301.397787,3888434301.397758
1,1,11,0.000385,0.00048,0.00035,0.000464,3888434301.3977757,3888434301.3984003,3888434301.398404,3888434301.398259
1,2,12,0.000381,0.000511,0.00035,0.000464,3888434301.3982677,3888434301.398904,3888434301.398907,3888434301.398782
1,3,13,0.000379,0.000486,0.00035,0.000464,3888434301.3987913,3888434301.399413,3888434301.399416,3888434301.39928
1,4,14,0.000381,0.000499,0.00035,0.000464,3888434301.3992887,3888434301.3999186,3888434301.399922,3888434301.399791
1,5,15,0.000382,0.000465,0.00035,0.000464,3888434301.3997993,3888434301.4004145,3888434301.4004183,3888434301.4002686
1,6,16,0.00035,0.000464,0.00035,0.000464,3888434301.400277,3888434301.4008594,3888434301.4008627,3888434301.4007444
1,7,17,0.000381,0.000549,0.00035,0.000464,3888434301.400755,3888434301.40141,3888434301.401414,3888434301.401308
2,0,20,0.000427,0.000705,0.000321,0.000443,3888434541.397013,3888434541.397793,3888434541.3978024,3888434541.3977275
2,1,21,0.000321,0.000443,0.000321,0.000443,3888434541.397743,3888434541.398286,3888434541.3982887,3888434541.3981895
2,2,22,0.000377,0.000495,0.000321,0.000443,3888434541.3981977,3888434541.398823,3888434541.3988256,3888434541.398696
2,3,23,0.000362,0.00053,0.000321,0.000443,3888434541.3987036,3888434541.39933,3888434541.3993335,3888434541.3992367
2,4,24,0.000373,0.000513,0.000321,0.000443,3888434541.3992443,3888434541.3998737,3888434541.3998766,3888434541.3997602
2,5,25,0.000403,0.000616,0.000321,0.000443,3888434541.39977,3888434541.4004803,3888434541.4004836,3888434541.4003887
2,6,26,0.000386,0.000479,0.000321,0.000443,3888434541.4003963,3888434541.4010224,3888434541.401026,3888434541.400879
2,7,27,0.000346,0.000537,0.000321,0.000443,3888434541.4008865,3888434541.401501,3888434541.4015045,3888434541.4014273
3,0,30,0.000452,0.000737,0.00038,0.000461,3888434781.3970084,3888434781.397829,3888434781.3978415,3888434781.3977575
3,1,31,0.000365,0.000483,0.00038,0.000461,3888434781.3977776,3888434781.3983836,3888434781.398388,3888434781.398265
3,2,32,0.000385,0.000535,0.00038,0.000461,3888434781.3982754,3888434781.3989277,3888434781.3989315,3888434781.398814
3,3,33,0.000402,0.000535,0.00038,0.000461,3888434781.398822,3888434781.399491,3888434781.399494,3888434781.3993597
3,4,34,0.00038,0.000461,0.00038,0.000461,3888434781.3993673,3888434781.3999777,3888434781.3999805,3888434781.399831
3,5,35,0.000347,0.000516,0.00038,0.000461,3888434781.399839,3888434781.400444,3888434781.400447,3888434781.4003577
3,6,36,0.000414,0.000531,0.00038,0.000461,3888434781.4003654,3888434781.401045,3888434781.4010477,3888434781.400899
3,7,37,0.000364,0.000461,0.00038,0.000461,3888434781.4009066,3888434781.4015007,3888434781.4015036,3888434781.40137
4,0,40,0.000442,0.000689,0.000368,0.000448,3888435021.397002,3888435021.397788,3888435021.3977976,3888435021.3977003
4,1,41,0.000394,0.000501,0.000368,0.000448,3888435021.397717,3888435021.398361,3888435021.398364,3888435021.398221
4,2,42,0.000368,0.000448,0.000368,0.000448,3888435021.3982286,3888435021.398821,3888435021.398824,3888435021.3986797
4,3,43,0.000381,0.000484,0.000368,0.000448,3888435021.3986874,3888435021.399311,3888435021.399314,3888435021.3991747
4,4,44,0.000384,0.000479,0.000368,0.000448,3888435021.3991823,3888435021.399806,3888435021.399809,3888435021.399664
4,5,45,0.000389,0.000484,0.000368,0.000448,3888435021.3996716,3888435021.400303,3888435021.4003057,3888435021.400159
4,6,46,0.000373,0.000489,0.000368,0.000448,3888435021.400166,3888435021.4007835,3888435021.4008102,3888435021.4006815
4,7,47,0.000377,0.000535,0.000368,0.000448,3888435021.400689,3888435021.401334,3888435021.4013367,3888435021.401227
5,0,50,0.000436,0.000714,0.000358,0.000421,3888435261.397031,3888435261.3978243,3888435261.3978367,3888435261.3977575
5,1,51,0.000358,0.000421,0.000358,0.000421,3888435261.397806,3888435261.3983746,3888435261.3983793,3888435261.3982315
5,2,52,0.000332,0.000592,0.000358,0.000421,3888435261.39824,3888435261.3988676,3888435261.3988705,3888435261.3988347
5,3,53,0.000386,0.00045,0.000358,0.000421,3888435261.3988423,3888435261.399453,3888435261.399456,3888435261.399295
5,4,54,0.000372,0.000422,0.000358,0.000421,3888435261.3993025,3888435261.399885,3888435261.399888,3888435261.399727
5,5,55,0.00036,0.000436,0.000358,0.000421,3888435261.399735,3888435261.4003134,3888435261.400316,3888435261.400174
5,6,56,0.000372,0.000421,0.000358,0.000421,3888435261.400182,3888435261.4007645,3888435261.4007673,3888435261.4006057
5,7,57,0.000364,0.00043,0.000358,0.000421,3888435261.4006133,3888435261.4011917,3888435261.4011946,3888435261.401046
6,0,60,0.000518,0.000649,0.00036,0.000322,3888435501.3970137,3888435501.3978567,3888435501.397867,3888435501.3976736
6,1,61,0.00036,0.000322,0.00036,0.000322,3888435501.3976917,3888435501.3982124,3888435501.3982153,3888435501.398017
6,2,62,0.000404,0.000381,0.00036,0.000322,3888435501.39804,3888435501.398635,3888435501.3986387,3888435501.398425
6,3,63,0.000354,0.000466,0.00036,0.000322,3888435501.398434,3888435501.399021,3888435501.399023,3888435501.398902
6,4,64,0.000359,0.000449,0.00036,0.000322,3888435501.398924,3888435501.3995075,3888435501.3995094,3888435501.399375
6,5,65,0.000376,0.000466,0.00036,0.000322,3888435501.3993835,3888435501.3999925,3888435501.399995,3888435501.3998523
6,6,66,0.000348,0.000347,0.00036,0.000322,3888435501.3998594,3888435501.400381,3888435501.400385,3888435501.4002104
6,7,67,0.000353,0.00039,0.00036,0.000322,3888435501.4002185,3888435501.4007664,3888435501.4007697,3888435501.400612
7,0,70,0.000485,0.000776,0.00039,0.000472,3888435741.3970356,3888435741.397908,3888435741.3979235,3888435741.3978267
7,1,71,0.000407,0.000528,0.00039,0.000472,3888435741.3978653,3888435741.398536,3888435741.3985405,3888435741.3983974
7,2,72,0.000378,0.000553,0.00039,0.000472,3888435741.398407,3888435741.3990617,3888435741.399065,3888435741.398963
7,3,73,0.000413,0.000542,0.00039,0.000472,3888435741.3989706,3888435741.399655,3888435741.3996577,3888435741.399515
7,4,74,0.000367,0.000481,0.00039,0.000472,3888435741.3995223,3888435741.4001293,3888435741.4001327,3888435741.4000063
7,5,75,0.00036,0.000601,0.00039,0.000472,3888435741.400017,3888435741.4006767,3888435741.4006796,3888435741.4006205
7,6,76,0.000323,0.000475,0.00039,0.000472,3888435741.4006276,3888435741.401188,3888435741.4011917,3888435741.401107
7,7,77,0.00039,0.000472,0.00039,0.000472,3888435741.401116,3888435741.4017415,3888435741.4017444,3888435741.401591
8,0,80,0.000428,0.000653,0.000344,0.000437,3888435981.3970137,3888435981.397768,3888435981.3977785,3888435981.3976774
8,1,81,0.000375,0.000489,0.000344,0.000437,3888435981.39769,3888435981.3983088,3888435981.3983116,3888435981.3981814
8,2,82,0.000381,0.000467,0.000344,0.000437,3888435981.3981886,3888435981.3988028,3888435981.398806,3888435981.398659
8,3,83,0.000379,0.00047,0.000344,0.000437,3888435981.3986664,3888435981.3992805,3888435981.3992834,3888435981.3991394
8,4,84,0.000371,0.000584,0.000344,0.000437,3888435981.3991466,3888435981.39981,3888435981.3998127,3888435981.3997335
8,5,85,0.000344,0.000437,0.000344,0.000437,3888435981.399743,3888435981.4003057,3888435981.4003086,3888435981.4001827
8,6,86,0.000363,0.000504,0.000344,0.000437,3888435981.4001904,3888435981.4008055,3888435981.400808,3888435981.400697
8,7,87,0.000306,0.000437,0.000344,0.000437,3888435981.4007044,3888435981.401229,3888435981.4012322,3888435981.4011445
9,0,90,0.000403,0.000685,0.000377,0.000475,3888436221.397008,3888436221.3977532,3888436221.3977633,3888436221.397703
9,1,91,0.000365,0.000501,0.000377,0.000475,3888436221.3977194,3888436221.3983345,3888436221.3983374,3888436221.398223
9,2,92,0.000378,0.000489,0.000377,0.000475,3888436221.3982315,3888436221.3988543,3888436221.398857,3888436221.3987236
9,3,93,0.000377,0.000475,0.000377,0.000475,3888436221.398731,3888436221.399346,3888436221.3993487,3888436221.3992095
9,4,94,0.000377,0.00048,0.000377,0.000475,3888436221.3992167,3888436221.399833,3888436221.3998356,3888436221.3996987
9,5,95,0.000366,0.000512,0.000377,0.000475,3888436221.3997064,3888436221.4003286,3888436221.4003315,3888436221.400221
9,6,96,0.000363,0.000513,0.000377,0.000475,3888436221.400243,3888436221.400862,3888436221.400865,3888436221.4007587
9,7,97,0.00034,0.000596,0.000377,0.000475,3888436221.400766,3888436221.4014034,3888436221.4014063,3888436221.4013643
10,0,100,0.000375,0.000734,0.000377,0.000497,3888436461.3970118,3888436461.3977532,3888436461.3977633,3888436461.3977556
10,1,101,0.000361,0.000569,0.000377,0.000497,3888436461.39777,3888436461.3984156,3888436461.3984184,3888436461.398342
10,2,102,0.000377,0.000511,0.000377,0.000497,3888436461.39835,3888436461.398982,3888436461.398985,3888436461.398864
10,3,103,0.00035,0.000546,0.000377,0.000497,3888436461.3988714,3888436461.3994946,3888436461.3994975,3888436461.3994207
10,4,104,0.000349,0.000551,0.000377,0.000497,3888436461.3994293,3888436461.400054,3888436461.400057,3888436461.3999834
10,5,105,0.000354,0.000554,0.000377,0.000497,3888436461.3999906,3888436461.400622,3888436461.4006248,3888436461.4005475
10,6,106,0.000275,0.000678,0.000377,0.000497,3888436461.4005547,3888436461.401169,3888436461.401172,3888436461.4012356
10,7,107,0.000377,0.000497,0.000377,0.000497,3888436461.4012427,3888436461.4018683,3888436461.401871,3888436461.401743
11,0,110,0.000386,0.000777,0.000372,0.000498,3888436701.397009,3888436701.3977833,3888436701.397793,3888436701.3977957
11,1,111,0.000359,0.000563,0.000372,0.000498,3888436701.397809,3888436701.39845,3888436701.398453,3888436701.3983755
11,2,112,0.000353,0.000544,0.000372,0.000498,3888436701.398383,3888436701.3990083,3888436701.399011,3888436701.39893
11,3,113,0.00035,0.000549,0.000372,0.000498,3888436701.398937,3888436701.399562,3888436701.3995647,3888436701.3994894
11,4,114,0.000329,0.000615,0.000372,0.000498,3888436701.399497,3888436701.400133,3888436701.400136,3888436701.400115
11,5,115,0.000353,0.000563,0.000372,0.000498,3888436701.4001226,3888436701.400757,3888436701.400759,3888436701.400688
11,6,116,0.000365,0.000568,0.000372,0.000498,3888436701.4006953,3888436701.4013443,3888436701.4013834,3888436701.4013023
11,7,117,0.000372,0.000498,0.000372,0.000498,3888436701.401309,3888436701.4019303,3888436701.4019327,3888436701.4018097
12,0,120,0.000411,0.000757,0.00037,0.000461,3888436941.3970146,3888436941.397804,3888436941.3978133,3888436941.3977814
12,1,121,0.000338,0.000545,0.00037,0.000461,3888436941.3977947,3888436941.3984056,3888436941.3984084,3888436941.3983426
12,2,122,0.00037,0.000461,0.00037,0.000461,3888436941.39835,3888436941.39895,3888436941.398953,3888436941.3988132
12,3,123,0.000345,0.000527,0.00037,0.000461,3888436941.3988204,3888436941.3994284,3888436941.399431,3888436941.39935
12,4,124,0.000313,0.000474,0.00037,0.000461,3888436941.399357,3888436941.399907,3888436941.39991,3888436941.3998337
12,5,125,0.000342,0.000528,0.00037,0.000461,3888436941.3998413,3888436941.400448,3888436941.4004507,3888436941.4003725
12,6,126,0.000326,0.000498,0.00037,0.000461,3888436941.4003797,3888436941.400955,3888436941.400958,3888436941.400881
12,7,127,0.000386,0.000547,0.00037,0.000461,3888436941.400888,3888436941.401547,3888436941.4015503,3888436941.401438
13,0,130,0.000368,0.00071,0.000376,0.000483,3888437181.3970766,3888437181.397799,3888437181.397809,3888437181.397796
13,1,131,0.000334,0.000569,0.000376,0.000483,3888437181.397813,3888437181.398432,3888437181.3984346,3888437181.398385
13,2,132,0.000356,0.000529,0.000376,0.000483,3888437181.3983917,3888437181.3990126,3888437181.3990154,3888437181.398924
13,3,133,0.000377,0.000509,0.000376,0.000483,3888437181.398931,3888437181.399563,3888437181.3995657,3888437181.3994427
13,4,134,0.000358,0.000577,0.000376,0.000483,3888437181.3994493,3888437181.400096,3888437181.400099,3888437181.400029
13,5,135,0.000322,0.000581,0.000376,0.000483,3888437181.400037,3888437181.400649,3888437181.400652,3888437181.4006205
13,6,136,0.000335,0.000599,0.000376,0.000483,3888437181.400627,3888437181.4012613,3888437181.401264,3888437181.401229
13,7,137,0.000376,0.000483,0.000376,0.000483,3888437181.4012365,3888437181.4018545,3888437181.4018574,3888437181.4017224
14,0,140,0.000393,0.000685,0.000371,0.000505,3888437421.397009,3888437421.3977447,3888437421.3977547,3888437421.397704
14,1,141,0.000371,0.000573,0.000371,0.000505,3888437421.3977175,3888437421.3983755,3888437421.3983793,3888437421.3982944
14,2,142,0.000354,0.000546,0.000371,0.000505,3888437421.398302,3888437421.3989286,3888437421.3989315,3888437421.398851
14,3,143,0.000371,0.000505,0.000371,0.000505,3888437421.398858,3888437421.3994813,3888437421.399484,3888437421.3993664
14,4,144,0.000368,0.00059,0.000371,0.000505,3888437421.3993735,3888437421.400037,3888437421.4000397,3888437421.3999667
14,5,145,0.000344,0.000574,0.000371,0.000505,3888437421.399974,3888437421.4006047,3888437421.4006076,3888437421.400551
14,6,146,0.00036,0.000516,0.000371,0.000505,3888437421.4005575,3888437421.401176,3888437421.401179,3888437421.4010763
14,7,147,0.000336,0.000546,0.000371,0.000505,3888437421.401082,3888437421.4016905,3888437421.4016933,3888437421.4016304
15,0,150,0.000386,0.000731,0.000397,0.000432,3888437661.397018,3888437661.39777,3888437661.39778,3888437661.3977594
15,1,151,0.000358,0.000567,0.000397,0.000432,3888437661.3977747,3888437661.398416,3888437661.3984194,3888437661.398345
15,2,152,0.000379,0.000514,0.000397,0.000432,3888437661.398352,3888437661.398988,3888437661.3989906,3888437661.3988686
15,3,153,0.00036,0.000552,0.000397,0.000432,3888437661.398875,3888437661.3995113,3888437661.399514,3888437661.3994303
15,4,154,0.00038,0.000535,0.000397,0.000432,3888437661.399438,3888437661.4000854,3888437661.4000883,3888437661.399976
15,5,155,0.000363,0.000519,0.000397,0.000432,3888437661.3999834,3888437661.400606,3888437661.400609,3888437661.400505
15,6,156,0.00035,0.000537,0.000397,0.000432,3888437661.4005117,3888437661.4011297,3888437661.401133,3888437661.401052
15,7,157,0.000397,0.000432,0.000397,0.000432,3888437661.401061,3888437661.4016743,3888437661.401677,3888437661.4014964
